codigo,Linha_Atual_Ref,Denominacao_provisoria,Nivel_de_rede,Tipo_de_linha,Modelo_operacional
LDS-10-10-11,5031-10,Vila Arapua  -  Term. Sacoma,Local,Distribuidora,Base
LDS-10-10-12,5032-10,Vila Arapua  -  Term. Sacoma,Local,Distribuidora,Base
LDS-10-10-13,5033-10,Vila Brasilina  -  Term. Sacoma,Local,Distribuidora,Base
LDS-10-10-14,5034-10,Vila Liviero  -  Term. Sacoma,Local,Distribuidora,Base
LDS-10-10-15,5034-31,Term. Sacoma  -  Vila Liviero,Local,Distribuidora,Reforço Pico
LDS-10-10-16,5035-10,Vila Arapua  -  Term. Sacoma,Local,Distribuidora,Base
LDS-10-10-17,5036-10,Jd. Celeste  -  Term. Sacoma,Local,Distribuidora,Base
LDS-10-10-18,5038-10,Pq. Bristol  -  Term. Sacoma,Local,Distribuidora,Base
LDS-11-11-01,5010-10,Jabaquara - Jardim Lourdes,Local,Distribuidora,Base
LDS-11-11-02,5012-10,Vila Guacuri  -  Jabaquara,Local,Distribuidora,Base
LDS-11-11-03,5015-10,Jd. Sao Jorge  -  Metrô Jabaquara,Local,Distribuidora,Base
LDS-11-11-04,5018-10,Shopping Interlagos  -  Jabaquara,Local,Distribuidora,Base
LDS-11-11-05,5018-31,Shopping Interlagos  -  Jabaquara,Local,Distribuidora,Reforço Pico
LDS-11-11-06,5022-10,Vila Sta. Margarida  -  Jabaquara,Local,Distribuidora,Base
LDS-11-11-07,5091-10,Jd. Ubirajara  -  Metrô São Judas (Circular),Local,Distribuidora,Base
LDS-11-11-08,509J-21,Vila MIssionaria - Moema,Local,Distribuidora,Reforço Pico
LDS-11-11-09,5106-10,Jardim Selma  - Metrô Jabaquara,Local,Distribuidora,Base
LDS-11-11-10,5123-10,Jd. Miriam  -  Metro Jabaquara,Local,Distribuidora,Base
LDS-11-11-11,5127-10,Vila Guacuri  -  Estação Jurubatuba,Local,Distribuidora,Base
LDS-11-11-12,5128-10,Jd. Apurá  -  Metro Jabaquara,Local,Distribuidora,Base
LDS-11-11-13,5164-41,Vila Guarani  -,Local,Distribuidora,Reforço Pico
LDS-11-11-14,516N-10,Jd. Miriam  -  Praça Dom Gastão,Local,Distribuidora,Base
LDS-11-11-15,5702-10,Refúgio Santa Terezinha  -  Metrô Jabaquara,Local,Distribuidora,Base
LDS-11-11-16,5752-10,Vila Missionaria  -  Metrô Conceição,Local,Distribuidora,Base
LDS-11-11-17,5757-10,Cidade Julia  -  Metrô Conceicão,Local,Distribuidora,Base
LDS-11-11-18,5757-51,Pedreira  -  Metrô Conceição,Local,Distribuidora,Reforço Pico
LDS-11-11-19,5759-10,Pq. Primavera  -  Metrô Conceição,Local,Distribuidora,Base
LDS-11-11-20,5759-31,Pq. Primavera  -  Metrô Conceicao,Local,Distribuidora,Reforço Pico
LDS-11-11-21,5791-10,Eldorado  -  Metrô Jabaquara,Local,Distribuidora,Base
LDS-11-11-22,607A-21,Jd. Apurá - Estação Jurubatuba,Local,Distribuidora,Reforço Pico
LDS-11-11-23,607G-10,Metrô Conceição  -  Shopping Morumbi,Local,Distribuidora,Base
LDS-11-11-24,627J-10,Jd. Miriam  -  Metrô São Judas,Local,Distribuidora,Base
LDS-11-11-25,675P-10,CPTM Jurubatuba - Terminal Santo Amaro,Local,Distribuidora,Base
LDS-11-11-26,5757-51,Pedreira  - Jd. Miriam,Local,Distribuidora,Base
LDS-12-12-01,5362-21,Grajaú (Res. Faria Lima) - Terminal Grajau,Local,Distribuidora,Reforço Pico
LDS-12-12-02,6000-21,Cidade Dutra - AMA,Local,Distribuidora,Reforço Pico
LDS-12-12-03,6000-23,Term. Parelheiros - AMA,Local,Distribuidora,Reforço Pico
LDS-12-12-04,6000-24,T. Parelheiros/AMA - Term. Santo Amaro,Local,Distribuidora,Base
LDS-12-12-05,6002-10,Cidade Dutra  -  Hospital De Pedreira (Circular ),Local,Distribuidora,Base
LDS-12-12-06,6003-10,Terminal Grajaú  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-07,6016-10,Jd. Noronha  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-08,6016-41,Jd. Porto Velho  -  Terminal Grajaú,Local,Distribuidora,Reforço Pico
LDS-12-12-09,6031-10,Jd. Sao Bernardo  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-10,6034-10,Pq. Res. Cocaia  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-11,6050-10,Pq. Cocaia  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-12,6051-10,Jd. Itajaí  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-13,6051-31,Jd. Itajaí  -  Terminal Varginha,Local,Distribuidora,Reforço Pico
LDS-12-12-14,6052-10,Jd. Sete de Setembro  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-15,6052-31,Jd. Almeida Prado  -  Terminal Varginha,Local,Distribuidora,Reforço Pico
LDS-12-12-16,6053-10,Jd. Ellus  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-17,6056-10,Pq. Santa Cecilia  -  Terminal Grajau,Local,Distribuidora,Base
LDS-12-12-18,6057-10,Vila Natal  -  Term. Grajau,Local,Distribuidora,Base
LDS-12-12-19,6058-10,Jd. Noronha  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-20,6061-10,Jd. Marilda  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-21,6062-10,Jd. Castro Alves  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-22,6063-10,Jd. Varginha  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-23,6063-41,Jd. Novo Marilda  -  Terminal Varginha,Local,Distribuidora,Reforço Pico
LDS-12-12-24,6063-42,Chacara Santo Amaro  -  Terminal Varginha,Local,Distribuidora,Reforço Pico
LDS-12-12-25,6072-10,Jd. Sao Nicolau  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-26,6073-10,Jd. Santa Terezinha - Term. Varginha,Local,Distribuidora,Base
LDS-12-12-27,6073-21,Jd. Silveira - Term. Varginha,Local,Distribuidora,Reforço Pico
LDS-12-12-28,6075-10,Jd. Rec. Campo Belo  -  Term. Varginha,Local,Distribuidora,Base
LDS-12-12-29,6078-10,Cantinho Do Ceu  - T. Grajaú,Local,Distribuidora,Base
LDS-12-12-30,6083-10,Jd. Eliana  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-31,6084-10,Jd. Chacara Do Sol  -  Term. Varginha,Local,Distribuidora,Base
LDS-12-12-32,6092-10,Jd. Das Pedras  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-33,6093-10,Vargem Grande  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-34,6110-10,Conj. Hab. Palmares - CPTM Autodromo,Local,Distribuidora,Base
LDS-12-12-35,6115-10,Cantinho Do Ceu  -  Terminal Grajau,Local,Distribuidora,Base
LDS-12-12-36,6115-41,Pq. Res. Dos Lagos  -  Terminal Grajau,Local,Distribuidora,Reforço Pico
LDS-12-12-37,6116-10,Jd. Prainha  -  Terminal Grajaú,Local,Distribuidora,Base
LDS-12-12-38,6120-10,Jd. Lucelia  -  Terminal Grajau,Local,Distribuidora,Base
LDS-12-12-39,6726-10,Jd. Gaivotas  -  Terminal Grajau,Local,Distribuidora,Base
LDS-12-12-40,677V-10,Jd. Alpino  -  Estação Grajaú,Local,Distribuidora,Base
LDS-12-12-41,6L01-10,Marsilac - Term. Varginha,Local,Distribuidora,Base
LDS-12-12-42,6L02-10,Jd. Eucaliptos  -  Terminal Parelheiros,Local,Distribuidora,Base
LDS-12-12-43,6L03-10,Cipó do Meio - Term. Parelheiros,Local,Distribuidora,Base
LDS-12-12-44,6L04-10,Jd. Oriental/Fontes - Term. Parelheiros,Local,Distribuidora,Base
LDS-12-12-45,6L04-41,Jd. das Fontes - Term. Parelheiros,Local,Distribuidora,Reforço Pico
LDS-12-12-46,6L04-42,Jd. Oriental  -  Terminal Parelheiros,Local,Distribuidora,Reforço Pico
LDS-12-12-47,6L05-10,Barragem  -  Term. Parelheiros,Local,Distribuidora,Base
LDS-12-12-48,6L07-10,Jd. Santa Fe  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-49,6L08-10,Jd. São Nicolau  -  Terminal Parelheiros,Local,Distribuidora,Base
LDS-12-12-50,6L10-10,Pq. Florestal  -  Terminal Varginha,Local,Distribuidora,Base
LDS-12-12-51,6L10-41,Messianica  -  Terminal Varginha,Local,Distribuidora,Reforço Pico
LDS-12-12-52,6L11-10,Ilha Do Borore  -  Term. Grajaú,Local,Distribuidora,Base
LDS-12-12-53,6069-10,Jd. Sao Bernardo  - T. Grajaú,Local,Distribuidora,Base
LDS-12-12-54,6072-23,Terminal Vaginha - Balneario Sao Jose,Local,Distribuidora,Base
LDS-12-12-55,6075-21,Jardim Aruan - Terminal Varginha,Local,Distribuidora,Base
LDS-13-13-01,5119-23,Terminal João Dias - Instituto Lucy Montoro,Local,Distribuidora,Reforço Pico
LDS-13-13-02,6006-10,Jd. Herculano  - T. Guarapiranga,Local,Distribuidora,Base
LDS-13-13-03,6013-21,ETEC - Jardim Angela,Local,Distribuidora,Reforço Pico
LDS-13-13-04,6015-10,Vila Calu  -  Jardim Angela,Local,Distribuidora,Base
LDS-13-13-05,6017-10,Jd. Nakamura  -  Jardim Angela,Local,Distribuidora,Base
LDS-13-13-06,6019-10,Term. Guarapiranga  -  Jd. Alfredo,Local,Distribuidora,Base
LDS-13-13-07,6022-10,Pque. Cerejeira  -  Jardim Angela,Local,Distribuidora,Base
LDS-13-13-08,6025-10,Jardim Guaruja - Terminal Guarapiranga,Local,Distribuidora,Base
LDS-13-13-09,6035-21,Vila Gilda - Term. Guarapiranga,Local,Distribuidora,Reforço Pico
LDS-13-13-10,6041-21,Term. J§ao Dias - Jd. Monte Azul,Local,Distribuidora,Reforço Pico
LDS-13-13-11,6045-21,Valo Velho - Capão Redondo,Local,Distribuidora,Reforço Pico
LDS-13-13-12,6059-10,Jd. Universal  -  Terminal Guarapiranga,Local,Distribuidora,Base
LDS-13-13-13,6258-31,Jd. Sta. Margarida - Jd. Ibirapuera,Local,Distribuidora,Reforço Pico
LDS-13-13-14,675A-10,Pq. Sto. Antonio  -  Terminal João Dias,Local,Distribuidora,Base
LDS-13-13-15,6801-51,Jd. Ibirapuera  -  Term João Dias,Local,Distribuidora,Reforço Pico
LDS-13-13-16,6803-10,Jd. Capelinha  -  Term. Joao Dias,Local,Distribuidora,Base
LDS-13-13-17,6812-10,Jd. Capela  - T. Jd. Ângela,Local,Distribuidora,Base
LDS-13-13-18,7004-10,Term. Rod. Jd. Jacira  -  Est.Sto.Amaro (Av. Guido Caloi),Local,Distribuidora,Base
LDS-13-13-19,7005-10,Jd. Vera Cruz - Jd. Ângela,Local,Distribuidora,Base
LDS-13-13-20,7006-10,Jd. Horizonte Azul - Jd. Ângela,Local,Distribuidora,Base
LDS-13-13-21,7009-10,Jd. São Lourenço - Jd. Ângela,Local,Distribuidora,Base
LDS-13-13-22,7011-10,Jd. dos Reis - Jd. Ângela,Local,Distribuidora,Base
LDS-13-13-23,7011-21,Chácara Santa Maria - Jd. Ângela,Local,Distribuidora,Reforço Pico
LDS-13-13-24,7011-31,Jd. dos Reis - Jd. Ângela,Local,Distribuidora,Reforço Pico
LDS-13-13-25,7012-10,Parque Do Lago  -  Term. Guarapiranga,Local,Distribuidora,Base
LDS-13-13-26,5318-10,Chacara Santana  - T. Guarapiranga,Local,Distribuidora,Base
LDS-13-13-27,609F-10,Chacara Santana  - T. J. Dias,Local,Distribuidora,Base
LDS-14-14-01,6012-31,Parque da Independencia -  Jardim Angela,Local,Distribuidora,Reforço Pico
LDS-14-14-02,6042-21,Term. Capelinha - CEU Capão Redondo,Local,Distribuidora,Reforço Pico
LDS-14-14-03,6044-10,Jd. Dom José  - T. Capelinha,Local,Distribuidora,Base
LDS-14-14-04,6412-10,Paraisopolis  - V. Olímpia (Av. Sto. Amaro),Local,Distribuidora,Base
LDS-14-14-05,6813-10,Jd. Lidia  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-06,6816-31,Jd. Mitsutani  -  Terminal Capelinha,Local,Distribuidora,Reforço Pico
LDS-14-14-07,6817-10,Jd. Sao Bento  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-08,6818-10,Jd Vale das Virtudes  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-09,6820-10,Jd. das Rosas  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-10,6820-31,Jd. das Rosas  -  Term. Capelinha,Local,Distribuidora,Reforço Pico
LDS-14-14-11,6821-10,Jd. Jangadeiro  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-12,6822-10,Jd. Macedonia  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-13,6824-10,Pq. Fernanda  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-14,6826-10,Jd. Dom José  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-15,6835-31,Valo Velho  -  Term. Capelinha,Local,Distribuidora,Reforço Pico
LDS-14-14-16,6837-10,Shop. Portal  -  Term. Capelinha,Local,Distribuidora,Base
LDS-14-14-17,6840-10,Ter. Rod. J. Jacira  -  Terminal Capelinha,Local,Distribuidora,Base
LDS-14-14-18,7051-10,Jd. Rosana  -  Terminal Campo Limpo,Local,Distribuidora,Base
LDS-14-14-19,7052-10,Jd. Helga  -  Terminal Campo Limpo,Local,Distribuidora,Base
LDS-14-14-20,7053-10,Jd. Macedonia  -  Terminal Campo Limpo,Local,Distribuidora,Base
LDS-14-14-21,7053-21,Jd. Maria Sampaio - Term. Campo Limpo,Local,Distribuidora,Reforço Pico
LDS-14-14-22,7053-22,Jd. Maria Sampaio - Term. Campo Limpo,Local,Distribuidora,Reforço Pico
LDS-14-14-23,7054-10,Jd. Macedonia  -  Terminal Campo Limpo,Local,Distribuidora,Base
LDS-14-14-24,7057-10,Jd. Mitsutani - Term. Campo Limpo,Local,Distribuidora,Base
LDS-14-14-25,7058-10,Jd. Mitsutani  -  Term. Campo Limpo,Local,Distribuidora,Base
LDS-14-14-26,7059-10,Pq. do Engenho  -  Terminal Campo Limpo,Local,Distribuidora,Base
LDS-14-14-27,7060-10,Valo Velho  -  Term.Campo Limpo,Local,Distribuidora,Base
LDS-14-14-28,7062-10,Inocoop Campo Limpo  -  Term. Campo Limpo,Local,Distribuidora,Base
LDS-14-14-29,7062-31,Campo Limpo  -  Term. Campo Limpo,Local,Distribuidora,Reforço Pico
LDS-14-14-30,7062-41,Metrô Campo Limpo  -  Horto Do Ypê,Local,Distribuidora,Reforço Pico
LDS-14-14-31,7063-10,Jd. Macedonia  -  Term.Campo Limpo,Local,Distribuidora,Base
LDS-14-14-32,746K-10,Paraisopolis  -  Campo Belo,Local,Distribuidora,Base
LDS-14-14-33,746V-10,Jd. Reboucas  -  Metro Campo Limpo,Local,Distribuidora,Base
LDS-14-14-34,775F-10,Jd. das Palmas  -  Parque do Povo,Local,Distribuidora,Base
LDS-14-14-35,8026-10,Jd. Inga  -  Butantã,Local,Distribuidora,Base
LDS-14-14-36,8078-10,Jd. Das Palmas  -  Metrô Campo Limpo,Local,Distribuidora,Base
LDS-14-14-37,807P-10,Paraisópolis  -  Santo Amaro,Local,Distribuidora,Base
LDS-15-15-01,6418-10,Real Parque  -  Pça Dom Gastão,Local,Distribuidora,Reforço Pico
LDS-15-15-02,6418-31,Real Parque  -  Av. Portugal,Local,Distribuidora,Reforço Pico
LDS-15-15-03,7002-10,Jd. Rosa Maria  -  Hosp. Das Clinicas,Local,Distribuidora,Reforço Pico
LDS-15-15-04,702C-10,Jd. Bonfiglioli  - Butanta,Local,Distribuidora,Base
LDS-15-15-05,714C-10,Cohab Educandario  - Sh. Raposo,Local,Distribuidora,Base
LDS-15-15-06,719R-10,Rio Pequeno  - Pinheiros,Local,Distribuidora,Base
LDS-15-15-07,7282-10,Pq. Continental  - Leopoldina,Local,Distribuidora,Base
LDS-15-15-08,746R-10,Real Parque  -  Santo Amaro,Local,Distribuidora,Base
LDS-15-15-09,748A-10,Jd. D Abril  - Jd. Maria Luiza,Local,Distribuidora,Base
LDS-15-15-10,748A-41,Jd. Peri Peri  - Bonfiglioli,Local,Distribuidora,Reforço Pico
LDS-15-15-11,771P-10,Jd. João XXIII  - Km 17,Local,Distribuidora,Base
LDS-15-15-12,775A-10,Jd. Adalgiza  -  Pinheiros,Local,Distribuidora,Base
LDS-15-15-13,778J-10,Jd. Arpoador  - Bonfiglioli,Local,Distribuidora,Base
LDS-15-15-14,7903-10,Jd. Joao XxIIi - Km 17,Local,Distribuidora,Base
LDS-15-15-15,8012-10,Metrô Butantã  -  Cidade Universitária,Local,Distribuidora,Base
LDS-15-15-16,8018-10,Vila Sônia  -  Butantã,Local,Distribuidora,Base
LDS-15-15-17,8019-10,Parque Continental  - Vila Yara,Local,Distribuidora,Base
LDS-15-15-18,8021-10,Jd. Maria Luiza  -  Butantã,Local,Distribuidora,Base
LDS-15-15-19,8022-10,Metrô Butantã  -  Cidade Universitária,Local,Distribuidora,Base
LDS-15-15-20,8023-10,CDHU Munck  - Km 17,Local,Distribuidora,Base
LDS-15-15-21,8025-10,Jd. Rosa Maria  -  Butantã,Local,Distribuidora,Reforço Pico
LDS-15-15-22,8027-10,Vila Dalva  -  Butantã,Local,Distribuidora,Base
LDS-15-15-23,8038-10,Pq. Continental  -  Lapa,Local,Distribuidora,Base
LDS-15-15-24,8073-10,Jardim Guaraú  -  Butantã,Local,Distribuidora,Reforço Pico
LDS-15-15-25,809J-10,Jd. Colombo  -  Terminal Pinheiros,Local,Distribuidora,Base
LDS-15-15-26,809R-10,Rio Pequeno  -  Terminal Pinheiros,Local,Distribuidora,Base
LDS-15-15-27,809V-10,Vila Gomes  -  Butanta,Local,Distribuidora,Base
LDS-15-15-28,8319-10,Pq. Continental  - Lapa,Local,Distribuidora,Base
LDS-15-15-29,6418-10,Real Parque  - V. Olímpia (Av. Sto. Amaro),Local,Distribuidora,Base
LDS-15-15-30,7002-10,Jd. Rosa Maria  - Pinheiros,Local,Distribuidora,Base
LDS-15-15-31,7458-10,Jd. Boa Vista  - Km 17,Local,Distribuidora,Base
LDS-15-15-32,8025-10,Jd. Rosa Maria  - Sh. Raposo,Local,Distribuidora,Base
LDS-15-15-33,8073-10,Jardim Guara·  - Sh. Raposo,Local,Distribuidora,Base
LDS-15-15-34,809D-10,Cohab Educandario  - Sh. Raposo,Local,Distribuidora,Base
LDS-16-16-01,6232-10,Pinheiros/Vila Ida - Metrô Barra Funda,Local,Distribuidora,Base
LDS-16-16-02,7267-10,Apiacas  - Metrô Sumarú,Local,Distribuidora,Base
LDS-16-16-03,7281-10,Lapa  -  Metro Vila Madalena,Local,Distribuidora,Base
LDS-16-16-04,7282-10,Leopoldina - Praça Ramos de Azevedo,Local,Distribuidora,Base
LDS-16-16-05,8062-10,Pq. Sao Domingos  -  Lapa,Local,Distribuidora,Base
LDS-16-16-06,817C-10,Lapa - Hosp. das Clinicas,Local,Distribuidora,Base
LDS-16-16-07,8615-10,Pq. Da Lapa  - T. Lapa,Local,Distribuidora,Base
LDS-16-16-08,9050-10,Terminal Lapa - Terminal Pinheiros,Local,Distribuidora,Base
LDS-16-16-09,9051-10,Lapa  -  Pinheiros,Local,Distribuidora,Base
LDS-17-17-01,701A-10,Circular Vila Madalena,Local,Distribuidora,Base
LDS-18-18-01,5164-10,V. Sta. Catarina  -  Parque do Ibirapuera,Local,Distribuidora,Base
LDS-18-18-02,609J-10,Aeroporto  -  Metrô São Judas (Via Miruna),Local,Distribuidora,Base
LDS-18-18-03,6422-10,V. Cruzeiro - Chacara Santo Antonio,Local,Distribuidora,Base
LDS-18-18-04,7245-10,Term. Santo Amaro - Shopping Morumbi,Local,Distribuidora,Base
LDS-19-19-01,4115-10,Shop. Plaza Sul - Praça da Republica,Local,Distribuidora,Base
LDS-19-19-02,476L-10,Lar Escola Sao Fco.  -,Local,Distribuidora,Base
LDS-19-19-03,5106-21,Metro Sao Judas - Shopping Ibirapuera,Local,Distribuidora,Reforço Pico
LDS-19-19-04,707A-10,Jose Maria Whitaker - Metro Praca da Arvore,Local,Distribuidora,Base
LDS-20-20-01,2127-10,Terminal Parque Dom Pedro - Metrô Liberdade,Local,Distribuidora,Base
LDS-20-20-02,407M-10,Vila Monumento - Vila Mariana,Local,Distribuidora,Base
LDS-20-20-03,4111-10,Vila Monumento  -  Pca. da Republica,Local,Distribuidora,Base
LDS-20-20-04,508L-10,Term.Princesa Isabel  -  Aclimacao (Circ.),Local,Distribuidora,Base
LDS-20-20-05,805L-10,Term.Princesa Isabel  -  Aclimacao (Circ.),Local,Distribuidora,Base
LDS-20-20-06,908T-10,Term. Pq. D.Pedro II  -  Butanta,Local,Distribuidora,Base
LDS-21-21-01,172N-22,Catumbi - Metrô Belúm,Local,Distribuidora,Reforço Pico
LDS-21-21-02,2101-10,Pça. Silvio Romero - Pça. da Sú,Local,Distribuidora,Base
LDS-21-21-03,372F-10,Univ. São Judas Tadeu  -  Metrô Bresser,Local,Distribuidora,Base
LDS-21-21-04,4726-10,Mooca  -  Metrô Tatuapú,Local,Distribuidora,Base
LDS-21-21-05,4726-31,Mooca  -  Metrô Tatuapú,Local,Distribuidora,Reforço Pico
